Artist,Genre,Set Day,Roo Location,Stage Name,2nd Set Day,2nd Set Roo Location,2nd Set Stage Name,3rd Set Day,3rd Set Roo Location,3rd Set Stage Name
49 Winchester,Country,Friday,Centeroo,Which,NA,NA,NA,NA,NA,NA
A eon:mode,"Electronic, Drum & Bass",Wednesday,Outeroo,With,NA,NA,NA,NA,NA,NA
Abby Holliday,"Pop, Indie",UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
Alleycvt,"Pop, Electronic",Tuesday,Outeroo,With,NA,NA,NA,NA,NA,NA
Amira Elfeky,"Alt Rock, Rock",UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
Angel White,Country,Wednesday,Outeroo,Galactic,NA,NA,NA,NA,NA,NA
Armand Hammer,Hip-Hop,Sunday,Centeroo,That,NA,NA,NA,NA,NA,NA
Ashnikko,Hip-Hop,Sunday,Centeroo,That,NA,NA,NA,NA,NA,NA
Baby Queen,Pop,Friday,Centeroo,This,NA,NA,NA,NA,NA,NA
Badbadnot Good,"Soul and R&B, Pop, Jazz",Sunday,Centeroo,That,NA,NA,NA,NA,NA,NA
Bakar,Indie,Saturday,Centeroo,This,NA,NA,NA,NA,NA,NA
BigXThaPlug,Hip-Hop,Thursday,Centeroo,This,NA,NA,NA,NA,NA,NA
Bonnie Light Horseman,Folk,UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
Bonny Light Horseman,"Folk, Indie",Friday,Centeroo,This,NA,NA,NA,NA,NA,NA
Boot Scootin' Boogie Nights,Country,Wednesday,Outeroo,Galactic,NA,NA,NA,NA,NA,NA
Brittany Howard,"Soul and R&B, Pop",Saturday,Centeroo,Which,NA,NA,NA,NA,NA,NA
Cage the Elephant,"Alt Rock, Rock",Saturday,Centeroo,What,NA,NA,NA,NA,NA,NA
Cale Tyson,"Country, Folk",UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
Carly Rae Jepsen,Pop,Sunday,Centeroo,What,NA,NA,NA,NA,NA,NA
Chapel Hart,Country,Thursday,Outeroo,Galactic,NA,NA,NA,NA,NA,NA
Chappell Roan,"Indie, Rock, Pop",Sunday,Centeroo,This,NA,NA,NA,NA,NA,NA
Charles Wesley Godwin,Country,Sunday,Centeroo,Which,NA,NA,NA,NA,NA,NA
Chase & Status,"Electronic, Drum & Bass",Wednesday,Outeroo,With,Thursday,Outeroo,With,NA,NA,NA
Cigarettes After Sex,"Alt Rock, Rock, Pop, Indie",Saturday,Centeroo,Which,NA,NA,NA,NA,NA,NA
Crowe Boys,"Country, Folk",Thursday,Outeroo,Galactic,NA,NA,NA,NA,NA,NA
D4VD,"Indie, Pop",Saturday,Centeroo,Which,NA,NA,NA,NA,NA,NA
Dan Spencer,"Indie, Folk",UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
Dasha,Country,UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
Dashboard Confessional Emo Superjam,"Alt Rock, Alt Elect., Pop",Saturday,Centeroo,This,NA,NA,NA,NA,NA,NA
David Kushner,"Indie, Folk, Pop",Friday,Centeroo,That,NA,NA,NA,NA,NA,NA
Deadroom,"House, Electronic, Dubstep",Saturday,Outeroo,With,NA,NA,NA,NA,NA,NA
Dean Johnson,Folk,UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
Deeper Purpose,"Techno, Electronic, House",Thursday,Outeroo,With,NA,NA,NA,NA,NA,NA
Diplo,"Pop, Electronic",Sunday,Centeroo,Other,NA,NA,NA,NA,NA,NA
Disco Lines,"House, Electronic",Thursday,Centeroo,Other,NA,NA,NA,NA,NA,NA
Dombrance,"Alt Elect., Electronic",Friday,Outeroo,With,NA,NA,NA,NA,NA,NA
Dominic Fike,"Pop, Indie",Friday,Centeroo,What,NA,NA,NA,NA,NA,NA
Dr. Fresch,"Trap, House, Electronic",Friday,Centeroo,Other,NA,NA,NA,NA,NA,NA
Durand Bernarr,Soul and R&B,Thursday,Centeroo,This,NA,NA,NA,NA,NA,NA
Eggy,Jam,Thursday,Centeroo,This,Friday,Outeroo,Galactic,NA,NA,NA
Eli Winders,"Country, Folk",Saturday,Outeroo,Galactic,NA,NA,NA,NA,NA,NA
Ethel Cain,"Indie, Pop",Saturday,Centeroo,That,NA,NA,NA,NA,NA,NA
Faye Webster,"Rock, Indie, Folk, Pop",Friday,Centeroo,That,NA,NA,NA,NA,NA,NA
Fisher,"Techno, Electronic, House",Thursday,Outeroo,With,Friday,Outeroo,With,NA,NA,NA
Flying Mojito Bros,"Electronic, Country, Rock, House",Wednesday,Outeroo,With,NA,NA,NA,NA,NA,NA
Four Tet,Electronic,Sunday,Centeroo,Other,NA,NA,NA,NA,NA,NA
Frayne Vibez,"Soul and R&B, Pop",Sunday,Outeroo,Galactic,NA,NA,NA,NA,NA,NA
Fred Again..,"Pop, House, Electronic",Sunday,Centeroo,What,NA,NA,NA,NA,NA,NA
Galantis,"Pop, House, Electronic",Sunday,Centeroo,Other,NA,NA,NA,NA,NA,NA
Gary Clark Jr.,"Blues, Rock, Pop",Friday,Centeroo,Which,NA,NA,NA,NA,NA,NA
Geese,"Alt Rock, Rock",Thursday,Centeroo,That,Friday,Outeroo,Galactic,NA,NA,NA
Goth Babe,"Pop, Electronic",Sunday,Centeroo,Which,NA,NA,NA,NA,NA,NA
Greensky Bluegrass,"Jam, Bluegrass",Sunday,Centeroo,Which,NA,NA,NA,NA,NA,NA
Gregory Alan Isakov,Folk,Saturday,Centeroo,That,NA,NA,NA,NA,NA,NA
Grouplove,"Alt Rock, Rock",Friday,Centeroo,This,NA,NA,NA,NA,NA,NA
Gwar,"Metal, Rock",Friday,Centeroo,This,NA,NA,NA,NA,NA,NA
Half Moon Run,"Indie, Rock",Saturday,Centeroo,That,NA,NA,NA,NA,NA,NA
Hamdi,"Dubstep, Electronic",Friday,Centeroo,Other,NA,NA,NA,NA,NA,NA
Hank,"Techno, Electronic, House",Thursday,Outeroo,With,NA,NA,NA,NA,NA,NA
Hans Williams,"Folk, Pop",UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
Happy Landing,"Folk, Pop",UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
HoneyLuv,"House, Electronic",Thursday,Centeroo,Other,NA,NA,NA,NA,NA,NA
Houseplant,Jam,UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
Idles,"Punk, Rock",Sunday,Centeroo,That,NA,NA,NA,NA,NA,NA
Infinity Song,"Rock, Indie, Folk, Pop",UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
Interpol,"Alt Rock, Rock, Indie",Friday,Centeroo,This,NA,NA,NA,NA,NA,NA
Irreversible Entanglements,Jazz,Sunday,Centeroo,That,NA,NA,NA,NA,NA,NA
IsoXO,"Trap, House, Electronic",Friday,Centeroo,Other,NA,NA,NA,NA,NA,NA
It's Murph,"House, Electronic",Thursday,Centeroo,Other,NA,NA,NA,NA,NA,NA
Jake Wesley Rogers,Rock,Sunday,Centeroo,What,NA,NA,NA,NA,NA,NA
Jason Isbell,"Country, Folk",Sunday,Centeroo,Which,NA,NA,NA,NA,NA,NA
Jason Ross,"Melodic Dubstep, Electronic",Sunday,Outeroo,With,NA,NA,NA,NA,NA,NA
Jessica Audiffred,"Dubstep, Electronic",Friday,Centeroo,Other,NA,NA,NA,NA,NA,NA
Jive Talk,"Indie, Rock, Pop",Wednesday,Outeroo,Galactic,NA,NA,NA,NA,NA,NA
Jobi Riccio,"Country, Indie, Folk",Sunday,Outeroo,Galactic,NA,NA,NA,NA,NA,NA
Joe Russo,Jam,Friday,Centeroo,That,NA,NA,NA,NA,NA,NA
Joey Bada$$,Hip-Hop,Sunday,Centeroo,That,NA,NA,NA,NA,NA,NA
Jon Batiste,"Soul and R&B, Jazz",Saturday,Centeroo,What,NA,NA,NA,NA,NA,NA
Josiah & the Bonnevilles,Folk,Saturday,Centeroo,This,NA,NA,NA,NA,NA,NA
Kasablanca,"Alt Elect., Electronic",Saturday,Centeroo,Other,NA,NA,NA,NA,NA,NA
Kat Hasty,"Country, Folk",Thursday,Outeroo,Galactic,NA,NA,NA,NA,NA,NA
Key Glock,"Hip-Hop, Trap",Friday,Centeroo,That,NA,NA,NA,NA,NA,NA
Khruangbin,"Psych, Rock, Funk, Pop",Friday,Centeroo,What,NA,NA,NA,NA,NA,NA
Kill Safari,"Dubstep, Electronic",Saturday,Outeroo,With,NA,NA,NA,NA,NA,NA
Knock2,"House, Dubstep, Electronic",Saturday,Centeroo,Other,NA,NA,NA,NA,NA,NA
Kyle Watson,"Techno, Electronic, House",Friday,Outeroo,With,NA,NA,NA,NA,NA,NA
Larkin Poe,"Blues, Rock, Pop",Friday,Centeroo,What,NA,NA,NA,NA,NA,NA
Last Heroes,"Melodic Dubstep, Electronic",Saturday,Outeroo,With,NA,NA,NA,NA,NA,NA
Libianca,Afrobeat,Sunday,Centeroo,Which,NA,NA,NA,NA,NA,NA
Lily Fitts,"Country, Indie, Folk",UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
Lizzy McAlpine,"Indie, Folk, Pop",Friday,Centeroo,Which,NA,NA,NA,NA,NA,NA
Lovra,"House, Electronic",Saturday,Centeroo,Other,NA,NA,NA,NA,NA,NA
Lowdown Brass Band,"Hip-Hop, Soul and R&B",UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
Lyny,"Dubstep, Electronic",Friday,Centeroo,Other,NA,NA,NA,NA,NA,NA
Machinedrum,"Electronic, Drum & Bass",Wednesday,Outeroo,With,NA,NA,NA,NA,NA,NA
Maggie Antone,"Country, Folk",Thursday,Outeroo,Galactic,NA,NA,NA,NA,NA,NA
Maggie Rogers,"Pop, Indie",Friday,Centeroo,Which,NA,NA,NA,NA,NA,NA
Manwolves,"Progressive, Rock",UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
Matt Maltese,"Indie, Folk, Pop",Thursday,Centeroo,This,NA,NA,NA,NA,NA,NA
Matt Schuster,Country,Saturday,Outeroo,Galactic,NA,NA,NA,NA,NA,NA
Mdou Moctar,"Psych, Rock, Pop",Friday,Centeroo,That,NA,NA,NA,NA,NA,NA
Medium Build,"Country, Indie, Folk",Thursday,Centeroo,That,NA,NA,NA,NA,NA,NA
Megan Thee Stallion,"Hip-Hop, Pop",Sunday,Centeroo,What,NA,NA,NA,NA,NA,NA
Melanie Martinez,"Art Pop, Pop",Sunday,Centeroo,Which,NA,NA,NA,NA,NA,NA
Michigander,"Alt Rock, Indie, Rock",Thursday,Centeroo,That,NA,NA,NA,NA,NA,NA
Mike,Hip-Hop,Friday,Centeroo,That,NA,NA,NA,NA,NA,NA
Mike.,"Hip-Hop, Pop",Friday,Centeroo,This,NA,NA,NA,NA,NA,NA
Militarie Gun,"Punk, Rock, Alt Rock",Thursday,Centeroo,This,NA,NA,NA,NA,NA,NA
Milky Chance,"Indie, Rock, Pop",Sunday,Centeroo,What,NA,NA,NA,NA,NA,NA
Molly Grace,"Funk, Pop",UNK,UNK,UNK,NA,NA,NA,NA,NA,NA
Mon Rovia,"Indie, Folk",Friday,Outeroo,Galactic,NA,NA,NA,NA,NA,NA
Mono Means One,"Alt Rock, Rock",Wednesday,Outeroo,Groop,NA,NA,NA,NA,NA,NA
Muckers,"Indie, Rock",Wednesday,Outeroo,Groop,NA,NA,NA,NA,NA,NA
Nala,"House, Electronic",Sunday,Outeroo,With,NA,NA,NA,NA,NA,NA
Nation of Language,"Indie, Rock, Pop",Thursday,Centeroo,This,NA,NA,NA,NA,NA,NA
Neal Francis,"Psych, Rock, Funk, Pop",Friday,Centeroo,That,NA,NA,NA,NA,NA,NA
